company,hour,date_time,hourly_high
BYND,9,2021-05-11 09:55:00-04:00,104.71
BYND,10,2021-05-11 10:55:00-04:00,106.46
BYND,11,2021-05-11 11:55:00-04:00,107.69
BYND,12,2021-05-11 12:55:00-04:00,108.84
BYND,13,2021-05-11 13:45:00-04:00,110.66
BYND,14,2021-05-11 14:45:00-04:00,110.70
BYND,14,2021-05-11 14:50:00-04:00,110.70
BYND,14,2021-05-11 14:55:00-04:00,110.70
BYND,15,2021-05-11 15:30:00-04:00,110.68
DDOG,9,2021-05-11 09:55:00-04:00,77.04
DDOG,10,2021-05-11 10:20:00-04:00,77.48
DDOG,11,2021-05-11 11:45:00-04:00,78.61
DDOG,12,2021-05-11 12:00:00-04:00,78.57
DDOG,13,2021-05-11 13:40:00-04:00,79.10
DDOG,14,2021-05-11 14:25:00-04:00,78.88
DDOG,15,2021-05-11 15:50:00-04:00,78.75
FB,9,2021-05-11 09:55:00-04:00,303.86
FB,10,2021-05-11 10:00:00-04:00,303.87
FB,11,2021-05-11 11:35:00-04:00,305.84
FB,12,2021-05-11 12:05:00-04:00,306.59
FB,13,2021-05-11 13:40:00-04:00,306.46
FB,14,2021-05-11 14:25:00-04:00,306.83
FB,15,2021-05-11 15:25:00-04:00,306.84
NFLX,9,2021-05-11 09:55:00-04:00,492.12
NFLX,10,2021-05-11 10:00:00-04:00,492.27
NFLX,11,2021-05-11 11:35:00-04:00,495.33
NFLX,12,2021-05-11 12:05:00-04:00,495.97
NFLX,13,2021-05-11 13:25:00-04:00,496.82
NFLX,14,2021-05-11 14:25:00-04:00,497.99
NFLX,15,2021-05-11 15:25:00-04:00,496.67
NFLX,15,2021-05-11 15:50:00-04:00,496.67
OKTA,9,2021-05-11 09:50:00-04:00,231.46
OKTA,10,2021-05-11 10:00:00-04:00,231.82
OKTA,11,2021-05-11 11:50:00-04:00,239.23
OKTA,12,2021-05-11 12:15:00-04:00,238.73
OKTA,13,2021-05-11 13:20:00-04:00,240.53
OKTA,14,2021-05-11 14:25:00-04:00,239.50
OKTA,15,2021-05-11 15:15:00-04:00,238.21
PINS,9,2021-05-11 09:55:00-04:00,58.78
PINS,10,2021-05-11 10:05:00-04:00,58.66
PINS,11,2021-05-11 11:55:00-04:00,59.49
PINS,12,2021-05-11 12:15:00-04:00,59.81
PINS,13,2021-05-11 13:35:00-04:00,60.03
PINS,14,2021-05-11 14:50:00-04:00,60.20
PINS,15,2021-05-11 15:45:00-04:00,60.34
SHOP,9,2021-05-11 09:55:00-04:00,1076.58
SHOP,10,2021-05-11 10:00:00-04:00,1076.50
SHOP,11,2021-05-11 11:30:00-04:00,1104.30
SHOP,12,2021-05-11 12:00:00-04:00,1101.40
SHOP,13,2021-05-11 13:45:00-04:00,1117.99
SHOP,14,2021-05-11 14:50:00-04:00,1116.00
SHOP,15,2021-05-11 15:20:00-04:00,1121.59
SNAP,9,2021-05-11 09:55:00-04:00,52.64
SNAP,10,2021-05-11 10:00:00-04:00,52.63
SNAP,11,2021-05-11 11:55:00-04:00,52.25
SNAP,12,2021-05-11 12:00:00-04:00,52.55
SNAP,13,2021-05-11 13:35:00-04:00,52.67
SNAP,14,2021-05-11 14:50:00-04:00,53.27
SNAP,15,2021-05-11 15:45:00-04:00,53.65
SQ,9,2021-05-11 09:55:00-04:00,215.51
SQ,10,2021-05-11 10:00:00-04:00,215.50
SQ,11,2021-05-11 11:55:00-04:00,219.94
SQ,12,2021-05-11 12:10:00-04:00,221.47
SQ,13,2021-05-11 13:35:00-04:00,221.78
SQ,14,2021-05-11 14:30:00-04:00,221.40
SQ,15,2021-05-11 15:55:00-04:00,221.04
TTD,9,2021-05-11 09:40:00-04:00,494.84
TTD,10,2021-05-11 10:00:00-04:00,490.90
TTD,11,2021-05-11 11:50:00-04:00,494.50
TTD,12,2021-05-11 12:00:00-04:00,491.44
TTD,13,2021-05-11 13:35:00-04:00,497.22
TTD,14,2021-05-11 14:45:00-04:00,508.67
TTD,15,2021-05-11 15:50:00-04:00,515.53